,Unnamed: 0,session_id,cluster_id,mean_firing_rate,shank_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,unit_location_x,unit_location_y,unit_location_z,border_score,delta_x_um,X_CCF,Y_CCF,Z_CCF,X_SC,Y_SC,Z_SC,cluster_annotation_derived_from_SHARP-Track,cluster_annotation_derived_from_brain_render
31,31,,163.0,38.712754523359656,1,143316,33.3391660667605,1.0,8.004899097005598,0.0661359615174008,948,0.0485846495401909,453,0.05,4.11971322209588e-05,-53.625,,,0.0934578135030282,0.0011861899578553,2.7910351949538085e-05,25.6,1.3807107754856542,270.92469164236223,1679.3714690018448,12.50196360311695,,-0.12593941056729818,2565.33788547562,3688.560868200394,10106.173116518366,-3134.66211452438,3440.1240071291113,4405.011679430204,root,root
32,32,,164.0,11.774002719087354,1,31626,7.357060384237402,1.0,2.786932991015888,0.4140263680268587,289,0.4411227785945206,160,,7.840420515632775e-05,-17.744999,0.5258105993270874,0.3988719910383222,0.096281540504648,0.0014228799089356,0.0,16.21999999999998,1.378362619085233,249.57278134290527,1712.2763791836703,26.197461288619913,,21.225970888889663,2588.2881593447582,3653.752300059722,10106.797317281535,-3111.7118406552418,3407.4620031512036,4408.668432651335,root,root
33,33,,166.0,0.7804957279508083,1,25531,5.939199034653927,0.9859154929577464,1.328688326702862,0.0175862412695245,8,0.019984205666271,6,0.025,0.0001865261231324,-8.97,,,0.0684657866906897,0.0010575378951079,3.916807018918178e-05,30.619999999999983,1.1348467412911376,303.9654071797487,1722.6273708347444,1.0000000028741023,,-33.16665494795376,2534.3983353047815,3642.8024692831304,10106.993673899817,-3165.6016646952185,3397.1874231990178,4409.818747964546,root,root
34,34,,167.0,31.685796716808937,1,88520,20.59213891142398,1.0,4.3965586973694855,0.2679004884646566,1465,0.322446503442495,986,0.255,2.9234385200383738e-06,-27.494999,0.3262727558612823,0.2344420261681079,0.1073429733393583,0.0010957975598734,0.0,31.219999999999985,1.3273766519302033,220.57391888198768,1732.956599608064,1.0000000000073086,,50.224833349807255,2618.2915682626235,3631.875660438799,10107.189617679867,-3081.7084317373765,3386.9344454695956,4410.966644748944,root,root
35,35,,168.0,2.6859703729479847,1,11733,2.72941217631877,1.0,8.057066700716426,0.0832703781567599,8,0.0479911636052714,3,0.105,0.0002322873337198,-54.6,0.1926081478595733,0.1720049064606427,0.073808915025995,0.0006818375522031,0.0,10.2,1.3848947849276814,288.4861362349192,1701.6951851395468,12.641861053871924,,-17.687384003124237,2548.8608205217624,3664.945651199698,10106.596593761518,-3151.1391794782376,3417.965086127284,4407.49253473244,root,root
36,36,,170.0,10.93193270129821,1,29762,6.9234437221170415,1.0,2.980063916145228,0.4885414415299635,302,0.5702491347438551,168,,6.17015211312316e-05,-19.109999,0.4375254809856415,0.3273721009492873,0.0797661447483368,0.0008735972044889,3.3599892480344065e-05,14.0,1.1929721855528814,284.2270583496767,1733.5485714612475,24.10074414368982,,-13.428306117881789,2554.667183963667,3631.249441054669,10107.20084728908,-3145.332816036333,3386.3468435914365,4411.032431130641,root,root
37,37,,172.0,3.9690454395792703,1,5750,1.3376050467768628,0.7323943661971831,5.792967519704317,0.0,0,0.0,0,0.1,0.0003750585938589,-39.0,,,0.0961739130434782,0.0010434782608695,0.0,8.619999999999981,1.336119535009906,254.3758227132304,1740.74802413582,18.242490170705203,,16.42292951856453,2584.868134667351,3623.633476214966,10107.337419728545,-3115.131865332649,3379.20053774844,4411.83251299115,root,root
38,38,,174.0,3.4007313860713793,1,4183,0.9730785931595856,0.6901408450704225,7.1804488589401885,0.0818922798960849,1,0.1314822049538966,1,0.215,0.0010532107204321,-49.14,,,0.1267033229739421,0.0023906287353573,0.0,6.0,1.4290472478007612,271.0831973451167,1732.2883857883585,11.433747342736345,,-0.2844451133217376,2567.749831159727,3632.5825326395507,10107.176941773021,-3132.250168840273,3387.5977264910816,4410.892385526715,root,root
39,39,,175.0,3.822598479963768,1,16806,3.9095287680229487,1.0,6.578692845214086,0.0659528132271074,13,0.0628548883998224,8,0.08,0.0003921270499426,-45.629997,0.2238866686820984,0.1876664832234382,0.0915744377008211,0.0014280614066404,0.0,11.239999999999965,1.375856726153336,278.23836123426497,1743.8930151334257,14.726391897925502,,-7.439609002470036,2561.1583648063665,3620.3065370792247,10107.397079693272,-3138.8416351936335,3376.078763280537,4412.182018760877,root,root
40,40,,182.0,1.2797467266400249,1,14143,3.2900431611417686,1.0,4.402900286318986,0.1934191064813281,27,0.2592647223578672,21,0.23,1.8473629515267853e-05,-30.224998,0.3449490666389465,0.3175271168351173,0.0712013009969596,0.000636357208513,0.0,13.019999999999982,1.316318835352493,256.23514772680994,1778.4942080190665,21.309250880059334,,14.563604504984994,2584.8423392054433,3583.7035506661628,10108.053458661834,-3115.1576607945567,3341.7329986689265,4416.027281453904,root,root
