,upperBorder,lowerBorder,acronym,name,avIndex
0,0,240.0,VISp1,Primary visual area layer 1,187
1,240,520.0,VISp2/3,Primary visual area layer 2/3,188
2,520,780.0,VISpl2/3,Posterolateral visual area layer 2/3,195
3,780,1000.0,VISpl5,Posterolateral visual area layer 5,197
4,1000,1240.0,PAR,Parasubiculum,524
5,1240,1320.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
6,1320,1350.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
7,1350,1370.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
8,1370,2520.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
9,2520,2630.0,root,root,1
10,2630,3140.0,root,root,1
11,3140,4574.614180918905,root,root,1
