upperBorder,lowerBorder,acronym,name,avIndex
0,210,VISp1,Primary visual area layer 1,187
210,510,VISp2/3,Primary visual area layer 2/3,188
510,670,VISp4,Primary visual area layer 4,189
670,690,VISpl4,Posterolateral visual area layer 4,196
690,1100,VISpl5,Posterolateral visual area layer 5,197
1100,1180,PAR,Parasubiculum,524
1180,1640,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
1640,2110,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2110,2330,root,root,1
2330,2840,root,root,1
