upperBorder,lowerBorder,acronym,name,avIndex
0,230,VISp1,Primary visual area layer 1,187
230,480,VISp2/3,Primary visual area layer 2/3,188
480,610,VISpl2/3,Posterolateral visual area layer 2/3,195
610,720,VISpl4,Posterolateral visual area layer 4,196
720,980,VISpl5,Posterolateral visual area layer 5,197
980,1040,PAR,Parasubiculum,524
1040,1420,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
1420,1810,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
1810,1850,root,root,1
1850,2360,root,root,1
