upperBorder,lowerBorder,acronym,name,avIndex
0,170,VISp1,Primary visual area layer 1,187
170,490,VISp2/3,Primary visual area layer 2/3,188
490,690,VISp4,Primary visual area layer 4,189
690,990,VISp5,Primary visual area layer 5,190
990,1070,VISpl5,Posterolateral visual area layer 5,197
1070,1080,VISpl6a,Posterolateral visual area layer 6a,198
1080,1110,VISpl5,Posterolateral visual area layer 5,197
1110,1120,VISpl6a,Posterolateral visual area layer 6a,198
1120,1380,VISpl5,Posterolateral visual area layer 5,197
1380,2110,PAR,Parasubiculum,524
2110,2130,root,root,1
2130,2550,root,root,1
2550,2640,SIM,Simple lobule,1068
