,upperBorder,lowerBorder,acronym,name,avIndex
0,0,190.0,VISp1,Primary visual area layer 1,187
1,190,450.0,VISp2/3,Primary visual area layer 2/3,188
2,450,620.0,VISp4,Primary visual area layer 4,189
3,620,830.0,VISp5,Primary visual area layer 5,190
4,830,940.0,VISpl5,Posterolateral visual area layer 5,197
5,940,1170.0,VISpl6a,Posterolateral visual area layer 6a,198
6,1170,1200.0,PAR,Parasubiculum,524
7,1200,1510.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
8,1510,2370.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
9,2370,3180.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
10,3180,3360.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
11,3360,3690.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
12,3690,3690.0,root,root,1
