upperBorder,lowerBorder,acronym,name,avIndex
0,180,VISp1,Primary visual area layer 1,187
180,500,VISp2/3,Primary visual area layer 2/3,188
500,630,VISp4,Primary visual area layer 4,189
630,650,VISl4,Lateral visual area layer 4,182
650,690,VISl5,Lateral visual area layer 5,183
690,1040,VISpl5,Posterolateral visual area layer 5,197
1040,1170,VISpl6a,Posterolateral visual area layer 6a,198
1170,2110,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
2110,2770,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
2770,2780,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
2780,2820,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
2820,3060,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
3060,3410,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
3410,3570,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
