upperBorder,lowerBorder,acronym,name,avIndex
0,180,VISp1,Primary visual area layer 1,187
180,460,VISp2/3,Primary visual area layer 2/3,188
460,630,VISp4,Primary visual area layer 4,189
630,930,VISp5,Primary visual area layer 5,190
930,990,VISp6a,Primary visual area layer 6a,191
990,1260,VISpl6a,Posterolateral visual area layer 6a,198
1260,1560,PAR,Parasubiculum,524
1560,1710,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
1710,2190,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
2190,2590,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2590,2630,root,root,1
2630,3140,root,root,1
