upperBorder,lowerBorder,acronym,name,avIndex
0,500,VISp2/3,Primary visual area layer 2/3,188
500,700,VISp4,Primary visual area layer 4,189
700,840,VISp5,Primary visual area layer 5,190
840,1230,VISpl5,Posterolateral visual area layer 5,197
1230,1310,PAR,Parasubiculum,524
1310,1760,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
1760,2150,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2150,2280,root,root,1
2280,2650,root,root,1
2650,2790,SIM,Simple lobule,1068
