,upperBorder,lowerBorder,acronym,name,avIndex
0,0,310.0,VISl2/3,Lateral visual area layer 2/3,181
1,310,480.0,VISpor2/3,Postrhinal area layer 2/3,216
2,480,600.0,VISpor4,Postrhinal area layer 4,217
3,600,1010.0,VISpor5,Postrhinal area layer 5,218
4,1010,1230.0,ENTl5,Entorhinal area lateral part layer 5,504
5,1230,2190.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
6,2190,2560.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
7,2560,2850.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
8,2850,3080.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
9,3080,3490.0,root,root,1
10,3490,4000.0,root,root,1
11,4000,4016.0686541230352,root,root,1
