,session_id,cluster_id,mean_firing_rate,shank_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,unit_location_x,unit_location_y,unit_location_z,border_score
380,,315.0,11.04319634757847,0,31977,9.27503323309447,1.0,3.09462854728171,0.2551240562230046,227,0.2483000462631347,129,0.175,0.0001123950098262,-17.16,0.4179062247276306,0.3900889337062836,0.0721143321762516,0.0008756293586014,3.127247709291053e-05,14.000000000000002,1.2490256772951225,522.242764515012,2241.893861835086,3.012123542255793,0.22924719019873782
381,,317.0,15.424267685470255,0,42301,12.269543133912787,1.0,3.2043458744565942,0.1644143366514927,256,0.1579408017560979,151,0.15,6.736369998458902e-05,-17.355,0.4800164699554443,0.581693172454834,0.078626982813645,0.0048225810264532,0.0005437223706295,16.92,1.4767179234159302,518.2017247950693,2231.558554029786,6.900664345954841,0.17433867364349348
382,,318.0,9.213224056647775,0,32920,9.54855346134628,1.0,3.777695587168569,0.230112954534568,217,0.2404678521631031,133,0.22,0.0001253435035545,-21.449999,0.4141802787780761,0.481957884132862,0.0768226002430133,0.0038578371810449,0.0008505467800729,14.520000000000003,1.5557991687248414,522.1459909546431,2251.6247947886013,7.565258730097697,0.2578835455273817
383,,319.0,11.696434601472113,0,38982,11.306856349641574,1.0,2.647141068500844,0.3478809001851146,460,0.3386827863332896,248,0.27,9.087914929827312e-05,-13.455,0.5816841721534729,0.8672539323568345,0.1074085475347596,0.0119029295572315,0.0020009235031553,19.8,1.6106878129168842,523.0867210412936,2260.7783557606926,28.74158443331589,0.25439674095701154
384,,321.0,21.630785414150285,0,58129,16.860506201536992,1.0,3.945544663738475,0.3094971659268264,910,0.3563105312580947,574,0.265,7.04328200690171e-05,-22.035,0.3429959118366241,0.3936860971152783,0.068606031412892,0.0006365153365789,3.440623440967504e-05,19.6,1.4011154180238123,524.4168410989705,2276.4381116268096,5.305759811042994,0.25656940310668597
385,,323.0,10.42013076130116,0,35529,10.30530242795176,1.0,2.725725480817873,0.1647834513009323,181,0.1490317044170274,101,0.14,8.163529257141054e-05,-15.014999,0.480823814868927,0.5385236278176306,0.0768667848799572,0.0031805004362633,0.0001125840862394,11.2,1.2917593621192578,531.4356806519378,2297.021726356894,20.866936983625596,0.266046658263977
386,,325.0,6.3950969012821215,0,18278,5.301593565203137,1.0,6.019907168557383,0.0103196483007414,3,0.0103734525597461,2,0.02,0.0002016039089768,-33.735,0.2084453999996185,0.2206603586673736,0.0707954918481234,0.0020242914979757,0.00060181639129,10.2,1.2481906040631194,519.6824163640108,2298.8000776701065,1.0000000000009512,-0.16427188647837157
387,,327.0,8.795332610161541,0,28879,8.37644822023752,1.0,2.525453939938268,0.225985479265524,164,0.1743540803146467,77,0.13,0.0002279641279089,-13.26,0.5818942189216614,0.983666545152664,0.1008691436684095,0.0105613075244987,0.0009003081824162,10.4,1.6344484110591404,529.3959493566415,2324.7948633911237,29.59587430198846,0.25178749788512134
388,,328.0,5.942506887037102,0,20202,5.859656045750836,1.0,4.627984773132073,0.1689520651504613,60,0.2234933053112705,47,0.19,3.471281604135808e-05,-25.349998,0.3142837285995483,0.3722195096313952,0.0701415701415701,0.002079002079002,0.0003465003465003,11.6,1.3908821083780436,521.4307894400173,2304.8131534159834,1.0000000000000002,0.30678331497445155
389,,329.0,11.551605796913707,0,36941,10.71485763716868,1.0,2.6183479364245943,0.1979026249617652,235,0.1758973935770783,127,0.16,3.387419133650305e-05,-14.04,0.4978826642036438,0.6673382982611655,0.0803443328550932,0.006144933813378,0.0005684740532199,13.0,1.38541940939833,521.2354085872777,2348.524626577412,20.62036542886697,0.24021124356654153
390,,331.0,12.900324039363865,0,38861,11.271759904659104,1.0,2.6489379338770043,0.0928395174566096,122,0.0883736964002072,74,0.085,1.03729772019897e-05,-14.235,0.4469626545906067,0.5037966609001158,0.0776614086101747,0.0013895679472993,5.146547952960552e-05,18.120000000000005,1.206702309930216,489.60728124164973,2350.8179924293777,13.861734798902928,0.24074245299098526
391,,333.0,9.715598972459746,0,31675,9.187437147270456,1.0,4.301308613349064,0.0973613677730994,85,0.1032660168156629,57,0.095,0.0001803560854698,-23.01,0.3441747725009918,0.3207477807998655,0.0635201262825572,0.0004419889502762,0.0,10.8,1.2983759524868412,523.4237818551311,2361.6439408085425,5.743422951857453,0.26953021179077685
392,,334.0,1.2582002396011533,0,4348,1.2611515932543629,1.0,2.3521360986931725,0.243154274340117,4,0.202962617884315,2,,5.971976643463964e-05,-11.505,0.8249884843826294,0.9694038443267344,0.1131554737810487,0.0006899724011039,0.0,4.4,1.743795562219351,515.2020916963347,2376.619394696426,1.0000000000000002,
393,,336.0,11.378112958119784,0,40802,11.834753290700208,1.0,2.507963887145982,0.2623141276836599,380,0.2510213712675946,212,0.21,0.0002095936539732,-12.675,0.5611687898635864,0.8992243111133575,0.092299397088378,0.008504485074261,0.0010048527032988,15.84000000000001,1.49633246827774,515.0469682628952,2381.0218857257164,15.74229452475254,0.25448932031789406
394,,337.0,5.33905353471041,0,22269,6.459196143095999,1.0,2.741863698161836,0.2178348750293493,94,0.2053084709900683,53,0.185,0.000703258655636,-14.04,0.465879738330841,0.5442222416400901,0.0789887287260317,0.0019309353810229,0.0001347164219318,13.0,1.2445012671841318,485.40378248356427,2402.0187000268734,15.412262988502098,-0.037368797725829524
395,,339.0,6.927644484710427,0,24408,7.079620075472053,1.0,2.671382122059699,0.287423892724917,149,0.2994724312098443,88,0.25,0.0001200296818577,-14.235,0.5931544303894043,0.989649274945259,0.1128728285807931,0.0158964274008521,0.0020485086856768,9.4,1.6828546147950003,533.3147382580318,2415.11091657657,26.729148573421288,0.23451926310141688
396,,340.0,40.067793961111555,0,112204,32.5451364695291,1.0,4.839270690370308,0.0086717732637102,95,0.0092162933261035,67,0.01,2.329095266097855e-05,-25.74,0.2523701190948486,0.283075799793005,0.0737228619300559,0.0007842857652133,8.912338241060925e-06,32.04,1.2308116326006118,487.11456091095414,2423.6369621775375,1.0000000000055465,0.2388623526728591
