upperBorder,lowerBorder,acronym,name,avIndex
0,500,VISp2/3,Primary visual area layer 2/3,188
500,690,VISp4,Primary visual area layer 4,189
690,760,VISp5,Primary visual area layer 5,190
760,1180,VISpl5,Posterolateral visual area layer 5,197
1180,1440,PAR,Parasubiculum,524
1440,1470,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
1470,1880,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
1880,2010,root,root,1
2010,2300,root,root,1
2300,2520,SIM,Simple lobule,1068
