,upperBorder,lowerBorder,acronym,name,avIndex
0,0,490.0,VISp2/3,Primary visual area layer 2/3,188
1,490,710.0,VISp4,Primary visual area layer 4,189
2,710,1060.0,VISp5,Primary visual area layer 5,190
3,1060,1070.0,VISp6a,Primary visual area layer 6a,191
4,1070,1360.0,VISl6a,Lateral visual area layer 6a,184
5,1360,1410.0,VISl6b,Lateral visual area layer 6b,185
6,1410,1470.0,or,optic radiation,1217
7,1470,1510.0,ec,external capsule,1194
8,1510,1780.0,HPF,Hippocampal formation,455
9,1780,2140.0,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
10,2140,2550.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
11,2550,2840.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
12,2840,3110.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
13,3110,3490.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
14,3490,3850.0,root,root,1
15,3850,4080.0,root,root,1
16,4080,4360.0,FL,Flocculus,1093
17,4360,4865.22931507589,root,root,1
