upperBorder,lowerBorder,acronym,name,avIndex
0,210,VISl1,Lateral visual area layer 1,180
210,540,VISl2/3,Lateral visual area layer 2/3,181
540,690,VISpl4,Posterolateral visual area layer 4,196
690,940,VISpl5,Posterolateral visual area layer 5,197
940,970,VISpor5,Postrhinal area layer 5,218
970,990,VISpl5,Posterolateral visual area layer 5,197
990,1010,VISpor5,Postrhinal area layer 5,218
1010,1050,VISpl5,Posterolateral visual area layer 5,197
1050,1120,VISpor5,Postrhinal area layer 5,218
1120,1750,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
1750,2200,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
2200,2530,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
2530,2780,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2780,2840,root,root,1
2840,3350,root,root,1
