upperBorder,lowerBorder,acronym,name,avIndex
0,220,VISp1,Primary visual area layer 1,187
220,580,VISp2/3,Primary visual area layer 2/3,188
580,750,VISp4,Primary visual area layer 4,189
750,800,VISpl4,Posterolateral visual area layer 4,196
800,1200,VISpl5,Posterolateral visual area layer 5,197
1200,1440,PAR,Parasubiculum,524
1440,1650,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
1650,1770,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
1770,2140,root,root,1
2140,2160,SIM,Simple lobule,1068
