upperBorder,lowerBorder,acronym,name,avIndex
0,190,VISp1,Primary visual area layer 1,187
190,470,VISp2/3,Primary visual area layer 2/3,188
470,720,VISp4,Primary visual area layer 4,189
720,780,VISp5,Primary visual area layer 5,190
780,1220,VISpl5,Posterolateral visual area layer 5,197
1220,1820,PAR,Parasubiculum,524
1820,1840,PAR,Parasubiculum,524
1840,2330,root,root,1
