,upperBorder,lowerBorder,acronym,name,avIndex
0,0,190.0,VISl1,Lateral visual area layer 1,180
1,190,340.0,VISl2/3,Lateral visual area layer 2/3,181
2,340,470.0,VISpl2/3,Posterolateral visual area layer 2/3,195
3,470,580.0,VISpl4,Posterolateral visual area layer 4,196
4,580,940.0,VISpl5,Posterolateral visual area layer 5,197
5,940,970.0,VISpor5,Postrhinal area layer 5,218
6,970,1960.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
7,1960,2510.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
8,2510,2650.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
9,2650,2880.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
10,2880,3160.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
11,3160,3248.9863020155217,root,root,1
