mouse,shank,y_offset
20,0,0
20,1,200
20,2,0
20,3,0
21,0,0
21,1,-200
21,2,-300
21,3,-400
22,0,1100
22,1,400
22,2,-200
22,3,0
25,0,1300
25,1,750
25,2,200
25,3,-300
26,0,700
26,1,200
26,2,300
26,3,-400
27,0,1900
27,1,1700
27,2,1900
27,3,1300
28,0,600
28,1,600
28,2,0
28,3,-100
29,0,500
29,1,600
29,2,200
29,3,500
