,upperBorder,lowerBorder,acronym,name,avIndex
0,0,200.0,VISp1,Primary visual area layer 1,187
1,200,230.0,VISp2/3,Primary visual area layer 2/3,188
2,230,480.0,VISl2/3,Lateral visual area layer 2/3,181
3,480,550.0,VISl4,Lateral visual area layer 4,182
4,550,630.0,VISpl4,Posterolateral visual area layer 4,196
5,630,1080.0,VISpl5,Posterolateral visual area layer 5,197
6,1080,2140.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
7,2140,2720.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
8,2720,2900.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
9,2900,3180.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
10,3180,3410.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
11,3410,3436.0253836460906,root,root,1
