upperBorder,lowerBorder,acronym,name,avIndex
0,190,VISp1,Primary visual area layer 1,187
190,260,VISp2/3,Primary visual area layer 2/3,188
260,490,VISl2/3,Lateral visual area layer 2/3,181
490,680,VISl4,Lateral visual area layer 4,182
680,730,VISl5,Lateral visual area layer 5,183
730,1160,VISpl5,Posterolateral visual area layer 5,197
1160,1230,VISpl6a,Posterolateral visual area layer 6a,198
1230,1240,HPF,Hippocampal formation,455
1240,2120,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
2120,2140,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
2140,2170,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
2170,2940,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
2940,3090,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
3090,3310,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
3310,3600,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
