upperBorder,lowerBorder,acronym,name,avIndex
0,220,VISp1,Primary visual area layer 1,187
220,610,VISp2/3,Primary visual area layer 2/3,188
610,750,VISp4,Primary visual area layer 4,189
750,800,VISpl4,Posterolateral visual area layer 4,196
800,1210,VISpl5,Posterolateral visual area layer 5,197
1210,1320,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
1320,1750,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
1750,2130,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2130,2210,root,root,1
2210,2720,root,root,1
