,upperBorder,lowerBorder,acronym,name,avIndex
0,0,480.0,VISp2/3,Primary visual area layer 2/3,188
1,480,760.0,VISp4,Primary visual area layer 4,189
2,760,780.0,VISp5,Primary visual area layer 5,190
3,780,1220.0,VISpl5,Posterolateral visual area layer 5,197
4,1220,1920.0,PAR,Parasubiculum,524
5,1920,1980.0,PAR,Parasubiculum,524
6,1980,2430.0,root,root,1
7,2430,4791.407436390056,root,root,1
