,upperBorder,lowerBorder,acronym,name,avIndex
0,0,60.0,VISl1,Lateral visual area layer 1,180
1,60,70.0,VISpl1,Posterolateral visual area layer 1,194
2,70,80.0,VISl1,Lateral visual area layer 1,180
3,80,220.0,VISpl1,Posterolateral visual area layer 1,194
4,220,490.0,VISpl2/3,Posterolateral visual area layer 2/3,195
5,490,560.0,VISpl4,Posterolateral visual area layer 4,196
6,560,760.0,VISpl5,Posterolateral visual area layer 5,197
7,760,1060.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
8,1060,1800.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
9,1800,1860.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
10,1860,1920.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
11,1920,2820.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
12,2820,3250.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
13,3250,3450.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
14,3450,3690.0,root,root,1
15,3690,4200.0,root,root,1
16,4200,4200.0,root,root,1
