upperBorder,lowerBorder,acronym,name,avIndex
0,220,VISp1,Primary visual area layer 1,187
220,520,VISp2/3,Primary visual area layer 2/3,188
520,580,VISl2/3,Lateral visual area layer 2/3,181
580,670,VISl4,Lateral visual area layer 4,182
670,750,VISpl4,Posterolateral visual area layer 4,196
750,1170,VISpl5,Posterolateral visual area layer 5,197
1170,1190,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
1190,1790,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
1790,2270,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
2270,2290,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2290,2610,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2610,2800,root,root,1
