,upperBorder,lowerBorder,acronym,name,avIndex
0,0,220.0,VISp1,Primary visual area layer 1,187
1,220,370.0,VISp2/3,Primary visual area layer 2/3,188
2,370,550.0,VISpl2/3,Posterolateral visual area layer 2/3,195
3,550,640.0,VISpl4,Posterolateral visual area layer 4,196
4,640,880.0,VISpl5,Posterolateral visual area layer 5,197
5,880,1300.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
6,1300,2630.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
7,2630,3040.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
8,3040,3300.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
9,3300,3550.0,root,root,1
10,3550,4428.099543862277,root,root,1
