,upperBorder,lowerBorder,acronym,name,avIndex
0,0,190.0,VISl1,Lateral visual area layer 1,180
1,190,490.0,VISl2/3,Lateral visual area layer 2/3,181
2,490,680.0,VISl4,Lateral visual area layer 4,182
3,680,790.0,VISl5,Lateral visual area layer 5,183
4,790,1160.0,VISpor5,Postrhinal area layer 5,218
5,1160,1340.0,VISpor6a,Postrhinal area layer 6a,219
6,1340,1910.0,ENTl6a,Entorhinal area lateral part layer 6a,506
7,1910,2600.0,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
8,2600,3030.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
9,3030,3300.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
10,3300,3580.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
11,3580,3710.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
12,3710,3790.0,root,root,1
13,3790,4300.0,root,root,1
14,4300,4300.0,root,root,1
