upperBorder,lowerBorder,acronym,name,avIndex
0,190,VISp1,Primary visual area layer 1,187
190,460,VISp2/3,Primary visual area layer 2/3,188
460,710,VISp4,Primary visual area layer 4,189
710,910,VISp5,Primary visual area layer 5,190
910,930,RSPagl5,Retrosplenial area lateral agranular part layer 5,302
930,1230,VISpl5,Posterolateral visual area layer 5,197
1230,1430,VISpl2/3,Posterolateral visual area layer 2/3,195
1430,1690,PAR,Parasubiculum,524
1690,2190,root,root,1
2190,2230,root,root,1
2230,2700,SIM,Simple lobule,1068
